字段,值,出现次数
硬条件·技能,三菱变频器,1
硬条件·技能,台达变频器,1
硬条件·技能,PLC编程及监控,1
硬条件·技能,外围电路维修,1
硬条件·技能,电脑基本操作,1
硬条件·经验,3年,8
硬条件·经验,1年,6
硬条件·经验,5年,5
硬条件·经验,应届,5
硬条件·经验,4年,2
硬条件·经验,2年,1
福利,定期体检,11
福利,五险一金,10
福利,年终奖金,7
福利,绩效奖金,4
福利,节日福利,3
福利,带薪年假,2
福利,专业培训,1
福利,培训,1
福利,餐饮补贴,1
福利,通讯补贴,1
福利,节假日福利,1
福利,技能补贴,1
福利,组长带班补贴,1
福利,社保,1
经验年数,0,8
经验年数,4,5
经验年数,3,5
经验年数,5,3
经验年数,2,2
经验年数,6,2
经验年数,1,2
薪资周期,月,126
薪资周期,天,5
证书,ISO9001,1
证书,ISO14001,1
证书,大学英语四级,1
证书,电工证,1
证书,六西格玛证,1
证书,ISO9001内审员,1
证书,低压电工上岗证,1
软实力,沟通能力,7
软实力,抗压能力,6
软实力,领导能力,5
软实力,责任心,3
软实力,责任心强,3
